Visit ID,Dither Index,Aperture,Exp Time,Target,Orient Used,RA Center Rot,Dec Center Rot,s_region
01180028001,2,NRS_FULL_MSA,3501.3330000000005,TINYCAT18,41.0,53.162377,-27.823780,POLYGON ICRS 53.12806281091098 -27.85466175798149 53.12798276795166 -27.79410685831641 53.19619657191121 -27.7935981921367 53.19728467815511 -27.854146670043463 ,
01180028001,3,NRS_FULL_MSA,3501.3330000000005,TINYCAT18,41.0,53.162374,-27.823486,POLYGON ICRS 53.128060068292626 -27.85436803368134 53.127980026618346 -27.793813133887625 53.19619364634388 -27.793304469051748 53.19728174821801 -27.853852947037353 ,
01180028001,1,NRS_FULL_MSA,2844.834,TINYCAT18,41.0,53.162375,-27.823633,POLYGON ICRS 53.12806143952688 -27.85451488931767 53.12798139720995 -27.793959989588245 53.19619510904812 -27.793451324080483 53.1972832131072 -27.853999802026635 ,
01180028001,2,NRS_FULL_MSA,2844.834,TINYCAT18,41.0,53.162377,-27.823780,POLYGON ICRS 53.12806281091098 -27.85466175798149 53.12798276795166 -27.79410685831641 53.19619657191121 -27.7935981921367 53.19728467815511 -27.854146670043463 ,
01180028001,3,NRS_FULL_MSA,2844.834,TINYCAT18,41.0,53.162374,-27.823486,POLYGON ICRS 53.128060068292626 -27.85436803368134 53.127980026618346 -27.793813133887625 53.19619364634388 -27.793304469051748 53.19728174821801 -27.853852947037353 ,
01180028001,1,NRS_FULL_MSA,2844.834,TINYCAT18,41.0,53.162375,-27.823633,POLYGON ICRS 53.12806143952688 -27.85451488931767 53.12798139720995 -27.793959989588245 53.19619510904812 -27.793451324080483 53.1972832131072 -27.853999802026635 ,
01180028001,2,NRS_FULL_MSA,2844.834,TINYCAT18,41.0,53.162377,-27.823780,POLYGON ICRS 53.12806281091098 -27.85466175798149 53.12798276795166 -27.79410685831641 53.19619657191121 -27.7935981921367 53.19728467815511 -27.854146670043463 ,
01180028001,3,NRS_FULL_MSA,2844.834,TINYCAT18,41.0,53.162374,-27.823486,POLYGON ICRS 53.128060068292626 -27.85436803368134 53.127980026618346 -27.793813133887625 53.19619364634388 -27.793304469051748 53.19728174821801 -27.853852947037353 ,
01180028001,1,NRS_FULL_MSA,3501.3330000000005,TINYCAT18,41.0,53.162375,-27.823633,POLYGON ICRS 53.12806143952688 -27.85451488931767 53.12798139720995 -27.793959989588245 53.19619510904812 -27.793451324080483 53.1972832131072 -27.853999802026635 ,
01180028001,2,NRS_FULL_MSA,3501.3330000000005,TINYCAT18,41.0,53.162377,-27.823780,POLYGON ICRS 53.12806281091098 -27.85466175798149 53.12798276795166 -27.79410685831641 53.19619657191121 -27.7935981921367 53.19728467815511 -27.854146670043463 ,
01180028001,3,NRS_FULL_MSA,3501.3330000000005,TINYCAT18,41.0,53.162374,-27.823486,POLYGON ICRS 53.128060068292626 -27.85436803368134 53.127980026618346 -27.793813133887625 53.19619364634388 -27.793304469051748 53.19728174821801 -27.853852947037353 ,
01180029001,1,NRS_FULL_MSA,3501.3330000000005,TINYCAT18,41.0,53.202490,-27.756753,POLYGON ICRS 53.16820816989565 -27.787644238713085 53.16810578742765 -27.72708934428391 53.23627740433406 -27.72656100353788 53.237387156807 -27.787109161717755 ,
01180029001,2,NRS_FULL_MSA,3501.3330000000005,TINYCAT18,41.0,53.202491,-27.756900,POLYGON ICRS 53.16820959488594 -27.787791107056364 53.16810721148452 -27.727236212627474 53.23627892028811 -27.72670787112628 53.237388675233156 -27.787256029329516 ,
01180029001,3,NRS_FULL_MSA,3501.3330000000005,TINYCAT18,41.0,53.202488,-27.756606,POLYGON ICRS 53.168206745060914 -27.787497383397294 53.16810436352658 -27.726942488968007 53.2362758885445 -27.726414148977085 53.23738563854525 -27.786962307133592 ,
