    0.11       0.0000      22.4207      19.7226      30.2548      30.2548       9.8827       9.8827
    0.11       0.0000      22.4138      19.7080      30.2479      30.2479       9.8839       9.8839
    0.11       0.0000      22.4069      19.6934      30.2410      30.2410       9.8852       9.8852
    0.11       0.0000      22.4000      19.6790      30.2341      30.2341       9.8864       9.8864
    0.11       0.0000      22.3931      19.6647      30.2272      30.2272       9.8877       9.8877
    0.11       0.0000      22.3862      19.6504      30.2203      30.2203       9.8889       9.8889
    0.11       0.0000      22.3793      19.6363      30.2134      30.2134       9.8902       9.8902
    0.11       0.0000      22.3724      19.6223      30.2065      30.2065       9.8915       9.8915
    0.11       0.0000      22.3656      19.6084      30.1996      30.1996       9.8927       9.8927
    0.11       0.0000      22.3587      19.5946      30.1928      30.1928       9.8940       9.8940
    0.11       0.0000      22.3518      19.5809      30.1859      30.1859       9.8953       9.8953
    0.11       0.0000      22.3449      19.5673      30.1790      30.1790       9.8966       9.8966
    0.11       0.0000      22.3381      19.5537      30.1721      30.1721       9.8978       9.8978
    0.11       0.0000      22.3312      19.5403      30.1653      30.1653       9.8991       9.8991
    0.11       0.0000      22.3243      19.5270      30.1584      30.1584       9.9004       9.9004
    0.11       0.0000      22.3174      19.5137      30.1515      30.1515       9.9017       9.9017
    0.11       0.0000      22.3106      19.5006      30.1447      30.1447       9.9030       9.9030
    0.11       0.0000      22.3037      19.4875      30.1378      30.1378       9.9043       9.9043
    0.12       0.0000      22.2969      19.4745      30.1309      30.1309       9.9056       9.9056
    0.12       0.0000      22.2900      19.4617      30.1241      30.1241       9.9069       9.9069
    0.12       0.0000      22.2832      19.4489      30.1172      30.1172       9.9083       9.9083
    0.12       0.0000      22.2763      19.4362      30.1104      30.1104       9.9096       9.9096
    0.12       0.0000      22.2695      19.4235      30.1035      30.1035       9.9109       9.9109
    0.12       0.0000      22.2626      19.4110      30.0967      30.0967       9.9122       9.9122
    0.12       0.0000      22.2558      19.3985      30.0898      30.0898       9.9136       9.9136
    0.12       0.0000      22.2489      19.3862      30.0830      30.0830       9.9149       9.9149
    0.12       0.0000      22.2421      19.3739      30.0762      30.0762       9.9162       9.9162
    0.12       0.0000      22.2352      19.3616      30.0693      30.0693       9.9176       9.9176
    0.12       0.0000      22.2284      19.3495      30.0625      30.0625       9.9189       9.9189
    0.12       0.0000      22.2216      19.3374      30.0557      30.0557       9.9203       9.9203
    0.12       0.0000      22.2148      19.3255      30.0488      30.0488       9.9216       9.9216
    0.12       0.0000      22.2079      19.3136      30.0420      30.0420       9.9230       9.9230
    0.12       0.0000      22.2011      19.3017      30.0352      30.0352       9.9243       9.9243
    0.12       0.0000      22.1943      19.2900      30.0284      30.0284       9.9257       9.9257
    0.12       0.0000      22.1875      19.2783      30.0215      30.0215       9.9270       9.9270
    0.12       0.0000      22.1806      19.2667      30.0147      30.0147       9.9284       9.9284
    0.12       0.0000      22.1738      19.2551      30.0079      30.0079       9.9298       9.9298
    0.12       0.0000      22.1670      19.2437      30.0011      30.0011       9.9312       9.9312
